Timestamp,Location,Branch Name,Category,Gender,Brand,Size,Available Stock,Sold Stock,Total Items,Price,Month,Year,Season,Restock Needed,Data Split
1/1/2023 11:45,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,XS,89,16,105,2841,Jan,2023,winter,No,Train
1/1/2023 12:08,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,S,16,28,44,6136,Jan,2023,winter,No,Train
1/1/2023 13:28,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,M,13,36,49,5366,Jan,2023,winter,Yes,Train
1/1/2023 14:15,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,L,70,35,105,5676,Jan,2023,winter,No,Train
1/1/2023 15:39,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,XL,33,40,73,7212,Jan,2023,winter,No,Train
1/1/2023 16:06,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,XXL,70,42,112,2345,Jan,2023,winter,No,Train
1/1/2023 16:39,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,XS,98,22,120,7953,Jan,2023,winter,No,Train
1/1/2023 16:53,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,S,16,18,34,780,Jan,2023,winter,No,Train
1/1/2023 19:01,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,M,66,26,92,2816,Jan,2023,winter,No,Train
1/1/2023 20:37,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,L,89,12,101,6260,Jan,2023,winter,No,Train
1/1/2023 20:45,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,XL,18,30,48,2312,Jan,2023,winter,No,Train
1/2/2023 10:04,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,XXL,27,17,44,982,Jan,2023,winter,No,Train
1/2/2023 10:50,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,XS,92,35,127,789,Jan,2023,winter,No,Train
1/2/2023 10:57,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,S,25,21,46,7965,Jan,2023,winter,No,Train
1/2/2023 11:37,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,M,11,13,24,7002,Jan,2023,winter,No,Train
1/2/2023 11:40,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,L,78,17,95,4153,Jan,2023,winter,No,Train
1/2/2023 11:49,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,XL,87,14,101,5415,Jan,2023,winter,No,Train
1/2/2023 16:58,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,XXL,82,9,91,4200,Jan,2023,winter,No,Train
1/2/2023 17:03,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,XS,73,11,84,1620,Jan,2023,winter,No,Train
1/2/2023 17:34,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,S,17,26,43,4825,Jan,2023,winter,No,Train
1/2/2023 18:01,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,M,62,20,82,674,Jan,2023,winter,No,Train
1/2/2023 18:35,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,L,62,14,76,3202,Jan,2023,winter,No,Train
1/2/2023 20:20,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,XL,96,32,128,5206,Jan,2023,winter,No,Train
1/2/2023 20:36,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,XXL,29,21,50,7080,Jan,2023,winter,No,Train
1/3/2023 10:20,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,XS,31,32,63,3081,Jan,2023,winter,No,Train
1/3/2023 11:09,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,S,55,42,97,5300,Jan,2023,winter,No,Train
1/3/2023 11:43,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,M,39,23,62,3125,Jan,2023,winter,No,Train
1/3/2023 11:47,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,L,73,34,107,3290,Jan,2023,winter,No,Train
1/3/2023 12:56,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,XL,46,4,50,7765,Jan,2023,winter,No,Train
1/3/2023 12:57,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,XXL,57,29,86,6491,Jan,2023,winter,No,Train
1/3/2023 13:01,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,XS,41,21,62,6316,Jan,2023,winter,No,Train
1/3/2023 13:03,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,S,39,8,47,4734,Jan,2023,winter,No,Train
1/3/2023 13:09,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,M,67,43,110,7098,Jan,2023,winter,No,Train
1/3/2023 14:50,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,L,52,20,72,4308,Jan,2023,winter,No,Train
1/3/2023 14:54,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,XL,44,24,68,5868,Jan,2023,winter,No,Train
1/3/2023 15:00,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,XXL,56,23,79,4831,Jan,2023,winter,No,Train
1/3/2023 15:54,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,XS,64,45,109,6446,Jan,2023,winter,No,Train
1/3/2023 15:54,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,S,21,38,59,4867,Jan,2023,winter,No,Train
1/3/2023 17:27,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,M,11,33,44,7435,Jan,2023,winter,Yes,Train
1/3/2023 17:46,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,L,44,47,91,5634,Jan,2023,winter,No,Train
1/3/2023 19:11,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,XL,57,22,79,2412,Jan,2023,winter,No,Train
1/3/2023 19:26,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,XXL,41,13,54,3730,Jan,2023,winter,No,Train
1/3/2023 19:49,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,XS,92,21,113,3991,Jan,2023,winter,No,Train
1/4/2023 10:20,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,S,34,33,67,1144,Jan,2023,winter,No,Train
1/4/2023 10:26,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,M,82,4,86,3070,Jan,2023,winter,No,Train
1/4/2023 11:38,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,L,17,24,41,2545,Jan,2023,winter,No,Train
1/4/2023 11:47,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,XL,29,43,72,3011,Jan,2023,winter,No,Train
1/4/2023 12:36,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,XXL,24,36,60,2615,Jan,2023,winter,No,Train
1/4/2023 12:42,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,XS,32,10,42,7225,Jan,2023,winter,No,Train
1/4/2023 13:05,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,S,103,12,115,3814,Jan,2023,winter,No,Train
1/4/2023 13:28,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,M,54,27,81,564,Jan,2023,winter,No,Train
1/4/2023 14:38,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,L,39,10,49,3439,Jan,2023,winter,No,Train
1/4/2023 16:01,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,XL,56,41,97,1506,Jan,2023,winter,No,Train
1/4/2023 16:16,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,XXL,10,22,32,720,Jan,2023,winter,No,Train
