Timestamp,Location,Branch Name,Category,Gender,Brand,Size,Available Stock,Sold Stock,Total Items,Price,Restock Needed,Season Month,Data Split
1/1/2023 11:45,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,XS,89,16,105,2841,No,Jan,Train
1/1/2023 12:08,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,S,16,28,44,6136,No,Jan,Train
1/1/2023 13:28,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,M,13,36,49,5366,Yes,Jan,Train
1/1/2023 14:15,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,L,70,35,105,5676,No,Jan,Train
1/1/2023 15:39,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,XL,33,40,73,7212,No,Jan,Train
1/1/2023 16:06,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,XXL,70,42,112,2345,No,Jan,Train
1/1/2023 16:39,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,XS,98,22,120,7953,No,Jan,Train
1/1/2023 16:53,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,S,16,18,34,780,No,Jan,Train
1/1/2023 19:01,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,M,66,26,92,2816,No,Jan,Train
1/1/2023 20:37,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,L,89,12,101,6260,No,Jan,Train
1/1/2023 20:45,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,XL,18,30,48,2312,No,Jan,Train
1/2/2023 10:04,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,XXL,27,17,44,982,No,Jan,Train
1/2/2023 10:50,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,XS,92,35,127,789,No,Jan,Train
1/2/2023 10:57,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,S,25,21,46,7965,No,Jan,Train
1/2/2023 11:37,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,M,11,13,24,7002,No,Jan,Train
1/2/2023 11:40,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,L,78,17,95,4153,No,Jan,Train
1/2/2023 11:49,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,XL,87,14,101,5415,No,Jan,Train
1/2/2023 16:58,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,XXL,82,9,91,4200,No,Jan,Train
1/2/2023 17:03,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,XS,73,11,84,1620,No,Jan,Train
1/2/2023 17:34,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,S,17,26,43,4825,No,Jan,Train
1/2/2023 18:01,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,M,62,20,82,674,No,Jan,Train
1/2/2023 18:35,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,L,62,14,76,3202,No,Jan,Train
1/2/2023 20:20,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,XL,96,32,128,5206,No,Jan,Train
1/2/2023 20:36,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,XXL,29,21,50,7080,No,Jan,Train
1/3/2023 10:20,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,XS,31,32,63,3081,No,Jan,Train
1/3/2023 11:09,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,S,55,42,97,5300,No,Jan,Train
1/3/2023 11:43,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,M,39,23,62,3125,No,Jan,Train
1/3/2023 11:47,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,L,73,34,107,3290,No,Jan,Train
1/3/2023 12:56,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,XL,46,4,50,7765,No,Jan,Train
1/3/2023 12:57,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,XXL,57,29,86,6491,No,Jan,Train
1/3/2023 13:01,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,XS,41,21,62,6316,No,Jan,Train
1/3/2023 13:03,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,S,39,8,47,4734,No,Jan,Train
1/3/2023 13:09,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,M,67,43,110,7098,No,Jan,Train
1/3/2023 14:50,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,L,52,20,72,4308,No,Jan,Train
1/3/2023 14:54,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,XL,44,24,68,5868,No,Jan,Train
1/3/2023 15:00,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,XXL,56,23,79,4831,No,Jan,Train
1/3/2023 15:54,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,XS,64,45,109,6446,No,Jan,Train
1/3/2023 15:54,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,S,21,38,59,4867,No,Jan,Train
1/3/2023 17:27,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,M,11,33,44,7435,Yes,Jan,Train
1/3/2023 17:46,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,L,44,47,91,5634,No,Jan,Train
1/3/2023 19:11,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,XL,57,22,79,2412,No,Jan,Train
1/3/2023 19:26,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,XXL,41,13,54,3730,No,Jan,Train
1/3/2023 19:49,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,XS,92,21,113,3991,No,Jan,Train
1/4/2023 10:20,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,S,34,33,67,1144,No,Jan,Train
1/4/2023 10:26,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,M,82,4,86,3070,No,Jan,Train
1/4/2023 11:38,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,L,17,24,41,2545,No,Jan,Train
