Timestamp,Location,Branch Name,Category,Gender,Brand,Size,Available Stock,Sold Stock,Price,Season Month
2024-05-10 19:11:49,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,XS,81,16,2841,May
2024-05-03 18:21:43,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,S,14,30,6136,May
2024-05-01 12:39:26,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,M,13,35,5366,May
2024-05-12 19:45:24,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,L,57,32,5676,May
2024-05-16 11:50:30,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,XL,31,43,7212,May
2024-05-10 12:01:24,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,XXL,64,45,2345,May
2024-05-27 14:36:49,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,XS,88,20,7953,May
2024-05-05 17:39:00,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,S,15,18,780,May
2024-05-13 10:24:27,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,M,58,29,2816,May
2024-05-10 18:27:51,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,L,90,12,6260,May
2024-05-28 18:32:39,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,XL,18,33,2312,May
2024-05-05 16:14:12,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,XXL,29,19,982,May
2024-05-26 11:09:23,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,XS,84,36,789,May
2024-05-26 20:18:30,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,S,22,28,7965,May
2024-05-21 20:48:00,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,M,10,17,7002,May
2024-05-22 11:39:10,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,L,64,19,4153,May
2024-05-12 15:47:09,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,XL,83,17,5415,May
2024-05-21 20:03:39,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,XXL,73,9,4200,May
2024-08-15 11:33:55,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,XS,78,13,1620,August
2024-08-23 19:29:34,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,S,17,32,4825,August
2024-08-02 13:36:35,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,M,55,18,674,August
2024-08-25 20:07:41,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,L,55,15,3202,August
2024-08-05 14:27:21,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,XL,94,33,5206,August
2024-08-11 12:34:33,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,XXL,28,26,7080,August
2024-08-03 16:24:26,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,XS,35,36,3081,August
2024-08-24 15:34:17,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,S,54,44,5300,August
2024-08-12 20:57:31,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,M,34,28,3125,August
2024-08-04 14:45:26,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,L,66,34,3290,August
2024-08-05 20:27:14,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,XL,42,5,7765,August
2024-08-02 10:54:29,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,XXL,54,32,6491,August
2024-08-13 11:39:45,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,XS,39,24,6316,August
2024-08-11 12:49:28,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,S,40,7,4734,August
2024-08-11 14:38:05,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,M,60,45,7098,August
2024-08-26 10:57:07,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,L,48,24,4308,August
2024-08-18 10:55:47,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,XL,40,23,5868,August
2024-08-13 14:44:03,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,XXL,56,28,4831,August
2024-11-18 19:37:58,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,XS,77,46,6446,November
2024-01-12 14:38:22,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,S,18,50,4867,January
2024-12-06 20:47:11,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,M,11,40,7435,December
2024-08-04 15:54:19,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,L,46,48,5634,August
2024-06-17 17:42:03,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,XL,51,21,2412,June
2024-11-27 11:49:54,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,XXL,41,13,3730,November
2024-12-17 12:23:37,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,XS,80,22,3991,December
2024-07-14 17:20:18,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,S,31,36,1144,July
2024-06-10 14:42:53,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,M,73,5,3070,June
2024-08-07 12:20:26,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,L,19,27,2545,August
2024-03-14 12:53:15,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,XL,25,48,3011,March
2024-03-19 12:42:27,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,XXL,22,34,2615,March
2024-09-27 16:19:01,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,XS,32,10,7225,September
2024-02-23 16:38:50,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,S,97,15,3814,February
2024-09-13 14:16:39,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,M,62,27,564,September
2024-06-13 18:01:55,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,L,36,11,3439,June
2024-01-20 11:22:48,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,XL,59,46,1506,January
2024-11-26 19:57:32,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,XXL,11,22,720,November
2024-05-02 18:38:27,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Max,XS,23,6,5114,May
2024-05-12 13:54:47,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Max,S,35,36,3659,May
2024-05-22 18:51:18,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Max,M,22,24,3531,May
2024-05-24 11:47:23,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Max,L,56,17,1821,May
2024-05-14 19:59:14,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Max,XL,94,9,1520,May
2024-05-10 15:35:38,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Max,XXL,72,29,6170,May
2024-05-22 12:44:43,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Biba,XS,30,39,2681,May
2024-05-28 20:49:43,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Biba,S,66,34,7213,May
2024-05-27 16:32:00,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Biba,M,93,19,3152,May
2024-05-10 10:37:43,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Biba,L,46,5,4047,May
2024-05-19 20:12:49,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Biba,XL,91,48,7451,May
2024-05-16 18:41:17,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Biba,XXL,100,28,7410,May
2024-05-26 13:57:50,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Global Desi,XS,17,46,3028,May
2024-05-28 20:21:10,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Global Desi,S,71,28,2926,May
2024-05-06 14:12:33,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Global Desi,M,18,13,609,May
2024-05-10 10:26:46,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Global Desi,L,19,14,7651,May
2024-05-16 19:29:55,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Global Desi,XL,20,7,7878,May
2024-05-08 13:34:21,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Global Desi,XXL,73,35,7925,May
2024-10-09 11:40:09,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Max,XS,31,22,5359,October
2024-10-07 18:21:14,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Max,S,97,35,7282,October
2024-10-09 13:07:40,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Max,M,38,14,5850,October
2024-10-11 11:34:57,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Max,L,47,22,1803,October
2024-10-28 17:29:01,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Max,XL,90,21,883,October
2024-10-20 16:14:43,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Max,XXL,78,37,7175,October
2024-10-12 16:51:09,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Biba,XS,79,42,4094,October
2024-10-05 16:37:54,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Biba,S,58,20,484,October
2024-10-15 16:07:04,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Biba,M,87,24,472,October
2024-10-06 12:22:25,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Biba,L,18,5,6561,October
2024-10-13 17:47:33,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Biba,XL,96,36,1159,October
2024-10-26 14:42:07,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Biba,XXL,35,25,5031,October
2024-10-20 16:43:11,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Aurelia,XS,30,22,4854,October
2024-10-17 10:44:20,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Aurelia,S,45,26,7324,October
2024-10-27 11:35:42,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Aurelia,M,31,31,581,October
2024-10-19 14:46:33,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Aurelia,L,36,31,4511,October
2024-10-09 17:45:49,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Aurelia,XL,67,16,7184,October
2024-10-10 13:49:01,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Kurtis,Women,Aurelia,XXL,58,14,2123,October
2024-10-06 12:53:00,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Sarees,Women,Max,XS,17,35,4024,October
2024-10-10 20:40:00,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Sarees,Women,Max,S,86,29,1109,October
2024-10-10 18:17:29,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Sarees,Women,Max,M,37,22,1022,October
2024-10-25 14:40:50,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Sarees,Women,Max,L,60,5,2585,October
2024-10-10 15:51:55,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Sarees,Women,Max,XL,74,16,7151,October
2024-10-25 12:01:34,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Sarees,Women,Max,XXL,98,33,6969,October
2024-10-25 16:28:42,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Sarees,Women,Avassa,XS,69,16,2090,October
2024-10-06 17:41:28,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Sarees,Women,Avassa,S,58,14,4477,October
2024-10-19 11:48:10,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Sarees,Women,Avassa,M,58,20,4065,October
2024-10-12 11:25:56,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Sarees,Women,Avassa,L,76,47,807,October
2024-10-09 12:38:31,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Sarees,Women,Avassa,XL,59,50,7083,October
2024-10-23 13:09:31,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Sarees,Women,Avassa,XXL,49,22,6172,October
2024-01-25 12:48:44,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jackets,Men,Max,XS,80,31,5472,January
2024-01-06 17:04:27,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jackets,Men,Max,S,56,48,3693,January
2024-01-14 19:45:10,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jackets,Men,Max,M,50,49,911,January
2024-01-23 15:59:06,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jackets,Men,Max,L,37,27,6887,January
2024-01-08 16:27:36,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jackets,Men,Max,XL,11,44,7451,January
2024-01-09 20:22:03,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jackets,Men,Max,XXL,74,29,490,January
2024-01-04 16:01:18,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jackets,Men,Woodland,XS,83,8,5428,January
2024-01-28 18:39:21,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jackets,Men,Woodland,S,69,44,2185,January
2024-01-25 10:52:42,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jackets,Men,Woodland,M,49,20,5012,January
2024-01-20 20:57:50,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jackets,Men,Woodland,L,69,23,1867,January
2024-01-08 13:53:36,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jackets,Men,Woodland,XL,62,21,3048,January
